"Name","Barcode","Tags","Available stock","purchase cost","Sale Price","status"
"HANDLE LOCK   PMHS   147 ABM/CP","","","0","3800","4100","published Edit Photos"
"HANDLE LOCK   PMHS   149 MAB/CP","","","0","3800","4250","published Edit Photos"
"HANDLE LOCK   PMHS   149 MBN/CP","","","0","3800","4250","published Edit Photos"
"HANDLE LOCK   PMHS   15 BLK","","","0","850","1180","published Edit Photos"
"HANDLE LOCK   PMHS   152 ABM/CP","","","0","3800","4150","published Edit Photos"
"HANDLE LOCK   PMHS   152 BN/CP","","","0","3800","4250","published Edit Photos"
"HANDLE LOCK   PMHS   17 ABM","","","0","1220","1150","published Edit Photos"
"HANDLE LOCK   PMHS   17 AE","","","0","950","765","published Edit Photos"
"HANDLE LOCK   PMHS   18 AB","","","0","710","765","published Edit Photos"
"HANDLE LOCK   PMHS   19 AB","","","0","1050","1250","published Edit Photos"
"HANDLE LOCK   PMHS   20   BLK CP","","","0","1250","1400","published Edit Photos"
"HANDLE LOCK   PMHS   38 ABM","","","0","2200","2750","published Edit Photos"
"HANDLE LOCK   PMHS   40 AE","","","0","1850","2150","published Edit Photos"
"HANDLE LOCK   PMHS   42 AB","","","0","1850","1850","published Edit Photos"
"HANDLE LOCK   PMHS   43 ABM","","","0","1700","1850","published Edit Photos"
"HANDLE LOCK   PMHS   43 AE","","","0","1425","1600","published Edit Photos"
"HANDLE LOCK   PMHS   45 AE","","","0","1675","1875","published Edit Photos"
"HANDLE LOCK   PMHS   48 AE","","","0","1675","1850","published Edit Photos"
"HANDLE LOCK   PMHS   50 AB","","","4","1900","2450","published Edit Photos"
"HANDLE LOCK   PMHS   52 MAB","","","0","1850","1600","published Edit Photos"
"HANDLE LOCK   PMHS   53 AE","","","3","1425","1850","published Edit Photos"
"HANDLE LOCK   PMHS   54 AEM","","","5","1850","1575","published Edit Photos"
